Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
biohazard-specialized-remediation,Biohazard & Specialized Remediation Services,<p>Expert remediation and cleanup services for hazardous materials trauma sites and specialized contamination scenarios. 24/7 emergency response with certified technicians and regulatory compliance.</p>,SuperwoMOM Cleaning,Services > Health & Medical > Biohazard Cleanup,Services,"Biohazard, Remediation, Emergency, Specialized, Trauma",true,Service Type,Basic Biohazard Cleanup,,,,,,,,BIO_SERVICE_001,0.0,,deny,manual,500.00,,false,true,,https://burst.shopifycdn.com/photos/biohazard-cleanup-professional.jpg?width=1500,1,"",false,Biohazard & Specialized Remediation Services | SuperwoMOM Cleaning,Expert biohazard remediation and specialized cleanup services with 24/7 emergency response,,g,,,active
biohazard-specialized-remediation,,,,,,,,,Medical Waste Remediation,,,,,,,,BIO_SERVICE_002,0.0,,deny,manual,1200.00,,false,true,,,,,,,,,g,,,
biohazard-specialized-remediation,,,,,,,,,Chemical Spill Response,,,,,,,,BIO_SERVICE_003,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
biohazard-specialized-remediation,,,,,,,,,Trauma Scene Cleanup,,,,,,,,BIO_SERVICE_004,0.0,,deny,manual,3500.00,,false,true,,,,,,,,,g,,,
biohazard-specialized-remediation,,,,,,,,,Infectious Disease Decontamination,,,,,,,,BIO_SERVICE_005,0.0,,deny,manual,5000.00,,false,true,,,,,,,,,g,,,
biohazard-specialized-remediation,,,,,,,,,Hoarding Cleanup Service,,,,,,,,BIO_SERVICE_006,0.0,,deny,manual,7500.00,,false,true,,,,,,,,,g,,,
biohazard-specialized-remediation,,,,,,,,,Mold Remediation Specialist,,,,,,,,BIO_SERVICE_007,0.0,,deny,manual,10000.00,,false,true,,,,,,,,,g,,,
biohazard-specialized-remediation,,,,,,,,,Hazmat Emergency Response,,,,,,,,BIO_SERVICE_008,0.0,,deny,manual,15000.00,,false,true,,,,,,,,,g,,,
biohazard-specialized-remediation,,,,,,,,,Large Scale Contamination,,,,,,,,BIO_SERVICE_009,0.0,,deny,manual,25000.00,,false,true,,,,,,,,,g,,,
biohazard-specialized-remediation,,,,,,,,,Industrial Accident Cleanup,,,,,,,,BIO_SERVICE_010,0.0,,deny,manual,40000.00,,false,true,,,,,,,,,g,,,
post-construction-renovation,Post-Construction & Renovation Cleaning Services,<p>Complete cleanup and detailing services for construction sites renovation projects and new building preparation. Move-in ready finishing with quality inspection and professional standards.</p>,SuperwoMOM Cleaning,Services > Business & Industrial > Construction,Services,"Construction, Renovation, Cleanup, Post-Construction, Detailing",true,Service Type,Renovation Cleanup Basic,,,,,,,,CON_SERVICE_001,0.0,,deny,manual,200.00,,false,true,,https://burst.shopifycdn.com/photos/construction-cleanup-service.jpg?width=1500,1,"",false,Post-Construction & Renovation Cleaning | SuperwoMOM Cleaning,Complete post-construction and renovation cleanup services with professional finishing,,g,,,active
post-construction-renovation,,,,,,,,,Bathroom Renovation Detail,,,,,,,,CON_SERVICE_002,0.0,,deny,manual,400.00,,false,true,,,,,,,,,g,,,
post-construction-renovation,,,,,,,,,Kitchen Renovation Complete,,,,,,,,CON_SERVICE_003,0.0,,deny,manual,750.00,,false,true,,,,,,,,,g,,,
post-construction-renovation,,,,,,,,,Home Addition Cleanup,,,,,,,,CON_SERVICE_004,0.0,,deny,manual,1500.00,,false,true,,,,,,,,,g,,,
post-construction-renovation,,,,,,,,,Commercial Renovation Clean,,,,,,,,CON_SERVICE_005,0.0,,deny,manual,2500.00,,false,true,,,,,,,,,g,,,
post-construction-renovation,,,,,,,,,New Construction Prep,,,,,,,,CON_SERVICE_006,0.0,,deny,manual,4000.00,,false,true,,,,,,,,,g,,,
post-construction-renovation,,,,,,,,,Office Building Construction,,,,,,,,CON_SERVICE_007,0.0,,deny,manual,8000.00,,false,true,,,,,,,,,g,,,
post-construction-renovation,,,,,,,,,Retail Space Grand Opening,,,,,,,,CON_SERVICE_008,0.0,,deny,manual,12000.00,,false,true,,,,,,,,,g,,,
post-construction-renovation,,,,,,,,,Hospital Construction Cleanup,,,,,,,,CON_SERVICE_009,0.0,,deny,manual,18000.00,,false,true,,,,,,,,,g,,,
post-construction-renovation,,,,,,,,,Large Commercial Complex,,,,,,,,CON_SERVICE_010,0.0,,deny,manual,25000.00,,false,true,,,,,,,,,g,,,
